Date,Open,High,Low,Close,Adj Close,Volume
2014-12-08,99.800003,100.669998,98.389999,98.519997,82.308647,4225800
2014-12-15,99.000000,105.680000,97.699997,105.269997,87.947937,7099500
2014-12-22,105.389999,107.000000,104.480003,106.410004,88.900360,3377200
2014-12-29,106.290001,106.489998,102.930000,103.709999,86.644623,2492800
2015-01-05,103.150002,107.500000,102.500000,106.410004,88.900360,5113700
2015-01-12,106.449997,110.750000,105.330002,110.660004,92.451004,8085900
2015-01-19,111.000000,111.349998,108.150002,108.620003,90.746712,5178100
2015-01-26,108.570000,110.220001,98.730003,102.209999,85.391457,12472800
2015-02-02,102.000000,106.480003,101.559998,105.529999,88.165161,6437800
2015-02-09,105.040001,106.669998,104.809998,106.019997,88.574524,4620300
2015-02-16,105.889999,107.570000,105.000000,107.239998,89.593765,5303800
2015-02-23,106.089996,106.480003,103.370003,103.779999,86.703102,6671700
2015-03-02,103.779999,104.199997,99.290001,99.650002,83.670097,4884000
2015-03-09,99.650002,100.769997,98.269997,99.879997,83.863243,5947500
2015-03-16,100.110001,102.389999,98.709999,102.089996,85.718826,4187100
2015-03-23,102.349998,102.989998,100.570000,101.889999,85.550896,4670300
2015-03-30,102.169998,102.720001,99.379997,100.750000,84.593689,3088300
2015-04-06,100.660004,102.559998,99.900002,100.089996,84.039543,4221300
2015-04-13,100.199997,101.970001,99.230003,100.269997,84.190666,4935400
2015-04-20,99.980003,100.080002,93.820000,94.629997,79.455124,10045800
2015-04-27,94.669998,94.779999,91.129997,93.599998,78.590286,11204100
2015-05-04,93.870003,95.160004,93.279999,94.440002,79.295578,5794600
2015-05-11,94.360001,96.400002,93.510002,96.180000,80.756554,5002100
2015-05-18,95.940002,96.000000,93.349998,93.529999,78.531509,4686000
2015-05-25,93.570000,93.889999,92.510002,92.860001,78.410164,3270700
2015-06-01,92.919998,93.230003,90.790001,90.870003,76.729805,5230700
2015-06-08,91.000000,91.930000,90.279999,91.040001,76.873375,5069200
2015-06-15,90.680000,93.019997,88.709999,89.040001,75.184578,9408900
2015-06-22,89.540001,89.589996,87.790001,88.550003,74.770828,6926200
2015-06-29,87.809998,90.389999,87.800003,90.040001,76.028984,5033200
2015-07-06,89.690002,92.389999,88.250000,91.870003,77.574203,5886600
2015-07-13,92.000000,92.900002,90.959999,91.510002,77.270241,3579200
2015-07-20,91.510002,91.599998,89.750000,90.199997,76.164070,2896300
2015-07-27,89.949997,93.339996,89.500000,92.889999,78.435478,4034900
2015-08-03,92.879997,93.190002,88.040001,89.730003,75.767235,7222500
2015-08-10,90.160004,92.449997,90.160004,91.349998,77.135132,5089400
2015-08-17,91.089996,93.699997,89.370003,89.519997,75.589890,7878600
2015-08-24,86.190002,90.629997,82.410004,90.199997,76.651993,7842100
2015-08-31,89.720001,90.459999,86.669998,89.720001,76.244087,5904900
2015-09-07,90.809998,93.089996,89.930000,91.209999,77.510269,4126000
2015-09-14,91.160004,94.419998,89.639999,92.459999,78.572540,6333200
2015-09-21,92.910004,93.650002,91.070000,92.559998,78.657524,3590700
2015-09-28,92.290001,94.349998,90.820000,94.309998,80.144676,5628500
2015-10-05,94.779999,97.400002,93.449997,96.559998,82.056702,6050200
2015-10-12,96.699997,97.349998,93.610001,95.279999,80.968971,3664200
2015-10-19,95.010002,96.750000,94.019997,95.669998,81.300423,4157700
2015-10-26,95.650002,95.809998,87.059998,88.690002,75.368767,11215200
2015-11-02,88.870003,89.199997,85.419998,86.160004,73.218796,7533000
2015-11-09,86.000000,86.989998,83.349998,83.820000,71.230255,6052200
2015-11-16,83.870003,86.150002,83.040001,84.589996,71.884621,7145600
2015-11-23,84.440002,87.720001,84.400002,87.000000,73.932602,5656200
2015-11-30,86.970001,87.320000,84.000000,86.500000,74.017860,7365400
2015-12-07,86.440002,88.540001,85.650002,87.430000,74.813644,6228100
2015-12-14,87.610001,92.000000,87.510002,88.760002,75.951759,9047200
2015-12-21,89.129997,90.519997,88.150002,90.320000,77.286621,2709900
2015-12-28,90.199997,91.239998,89.089996,89.269997,76.388130,2333800
2016-01-04,88.160004,88.879997,84.750000,84.919998,72.665855,7516000
2016-01-11,84.290001,85.300003,82.620003,83.320000,71.296715,6899200
2016-01-18,83.669998,86.190002,82.650002,85.250000,72.948257,5696300
2016-01-25,84.910004,88.279999,82.419998,88.110001,75.395538,11579200
2016-02-01,88.190002,90.320000,87.400002,87.699997,75.044708,8972500
2016-02-08,87.449997,91.330002,87.379997,89.699997,76.756104,7678000
2016-02-15,90.000000,92.470001,89.050003,91.029999,77.894165,4813100
2016-02-22,91.750000,92.000000,88.930000,90.620003,77.543350,4900800
2016-02-29,90.489998,93.790001,90.290001,93.180000,80.251747,4453500
2016-03-07,92.519997,93.300003,91.690002,92.720001,79.855583,4159700
2016-03-14,92.480003,93.260002,90.550003,90.980003,78.356987,4868400
2016-03-21,90.699997,91.190002,89.250000,90.070000,77.573265,4358900
2016-03-28,90.129997,93.769997,90.120003,93.709999,80.708244,5996700
2016-04-04,93.809998,94.169998,90.089996,91.809998,79.071861,5004800
2016-04-11,91.949997,93.529999,91.120003,93.510002,80.535980,4630000
2016-04-18,93.440002,94.930000,89.489998,90.550003,77.986664,8349700
2016-04-25,90.419998,93.209999,87.919998,93.110001,80.191483,10161200
2016-05-02,93.080002,94.540001,90.209999,91.610001,78.899597,7290500
2016-05-09,91.790001,93.400002,91.709999,92.440002,79.614441,4268200
2016-05-16,92.260002,92.889999,89.169998,90.769997,78.176117,5184400
2016-05-23,90.239998,92.930000,89.980003,92.599998,79.752235,4794900
2016-05-30,92.750000,93.809998,91.870003,93.500000,81.047943,6307200
2016-06-06,93.500000,97.199997,92.360001,96.400002,83.561707,7053400
2016-06-13,96.019997,97.150002,94.849998,97.110001,84.177177,8192000
2016-06-20,97.050003,98.489998,95.449997,97.970001,84.922623,6964400
2016-06-27,97.239998,117.790001,95.459999,111.949997,97.040810,31184600
2016-07-04,110.000000,113.110001,108.699997,110.699997,95.957291,9899900
2016-07-11,110.500000,112.629997,107.830002,110.660004,95.922592,9416400
2016-07-18,110.389999,110.940002,108.519997,109.949997,95.307144,4911700
2016-07-25,110.320000,112.220001,108.139999,110.760002,96.009270,6974600
2016-08-01,109.160004,112.449997,108.750000,111.650002,96.780739,5454000
2016-08-08,111.629997,112.750000,109.980003,111.470001,96.624725,3878900
2016-08-15,111.410004,114.120003,110.919998,113.620003,98.488396,6984300
2016-08-22,113.379997,114.160004,110.639999,110.879997,96.113297,4972200
2016-08-29,110.580002,112.000000,98.750000,99.300003,86.545097,16663200
2016-09-05,99.629997,99.889999,96.160004,96.180000,83.825867,5419500
2016-09-12,96.580002,97.769997,95.220001,95.480003,83.215775,6747600
2016-09-19,95.889999,97.720001,94.769997,95.849998,83.538239,8368000
2016-09-26,95.459999,96.230003,94.449997,95.599998,83.320381,4955100
2016-10-03,95.300003,95.820000,94.279999,95.209999,82.980469,7213500
2016-10-10,95.209999,97.180000,94.199997,96.430000,84.043755,4751000
2016-10-17,96.400002,97.400002,94.029999,95.360001,83.111191,4089000
2016-10-24,95.699997,103.360001,94.980003,102.400002,89.246925,8897200
2016-10-31,102.440002,103.040001,99.790001,100.000000,87.155212,5609600
2016-11-07,100.559998,102.949997,96.260002,97.250000,84.758430,7598500
2016-11-14,97.120003,100.099998,96.500000,98.559998,85.900162,6197900
2016-11-21,97.940002,98.360001,96.389999,97.730003,85.176788,3913800
2016-11-28,97.650002,98.720001,95.680000,97.080002,85.144142,8311600
2016-12-05,96.949997,100.690002,96.459999,100.300003,87.968269,5541700
2016-12-12,100.250000,101.959999,98.849998,101.160004,88.722519,4558900
2016-12-19,101.300003,105.269997,100.620003,103.620003,90.880058,4584400
2016-12-26,103.570000,104.199997,102.510002,103.430000,90.713425,2187300
2017-01-02,103.839996,105.230003,103.010002,104.510002,91.660652,4028700
2017-01-09,104.510002,105.589996,103.540001,104.849998,91.958839,4399000
2017-01-16,104.820000,106.279999,104.419998,105.570000,92.590309,3173300
2017-01-23,105.559998,107.250000,104.599998,105.510002,92.537697,4047700
2017-01-30,105.790001,107.440002,101.610001,106.980003,93.826965,8487500
2017-02-06,107.000000,109.580002,106.320000,107.620003,94.388252,6350300
2017-02-13,107.500000,109.570000,106.510002,107.250000,94.063766,5613700
2017-02-20,107.500000,109.309998,107.120003,108.900002,95.510902,4682500
2017-02-27,108.690002,109.900002,107.730003,108.660004,95.846428,5950800
2017-03-06,107.970001,109.849998,107.320000,108.930000,96.084579,5003300
2017-03-13,108.639999,109.760002,108.279999,109.010002,96.155151,4271900
2017-03-20,109.010002,109.169998,107.120003,107.980003,95.246613,4819000
2017-03-27,107.660004,109.900002,107.449997,109.250000,96.366867,4953900
2017-04-03,108.930000,109.800003,107.739998,109.519997,96.605026,4352500
2017-04-10,109.620003,109.790001,107.769997,108.199997,95.440666,3331200
2017-04-17,108.309998,110.000000,107.379997,107.400002,94.735008,4085800
2017-04-24,107.639999,108.889999,106.510002,108.199997,95.440666,5559500
2017-05-01,108.000000,108.199997,106.000000,107.550003,94.867325,4826200
2017-05-08,107.389999,107.489998,106.019997,107.070000,94.443924,4224300
2017-05-15,106.989998,112.150002,106.730003,111.980003,98.774933,6008500
2017-05-22,111.849998,116.489998,111.849998,115.959999,102.285591,6690800
2017-05-29,115.889999,116.160004,114.760002,115.879997,102.778252,4719400
2017-06-05,115.720001,116.019997,113.260002,114.019997,101.128555,4736400
2017-06-12,114.220001,115.339996,110.720001,111.830002,99.186157,5788200
2017-06-19,111.959999,112.660004,109.370003,109.809998,97.394562,4909200
2017-06-26,110.110001,110.699997,106.050003,107.370003,95.230431,5478400
2017-07-03,107.050003,107.580002,105.849998,105.910004,93.935493,4380600
2017-07-10,106.120003,106.260002,103.769997,105.470001,93.545242,4788800
2017-07-17,105.449997,106.500000,105.300003,106.389999,94.361214,3352100
2017-07-24,106.370003,108.099998,104.790001,106.070000,94.077408,6607200
2017-07-31,106.190002,106.440002,104.660004,104.860001,93.004211,4211100
2017-08-07,105.000000,106.190002,104.190002,105.199997,93.305756,3860700
2017-08-14,105.500000,109.339996,105.459999,107.339996,95.203812,4490700
2017-08-21,107.250000,107.849998,105.070000,105.160004,93.270302,7871100
2017-08-28,105.269997,105.660004,103.879997,105.610001,94.243126,5542800
2017-09-04,105.239998,108.889999,104.199997,108.150002,96.509743,5655000
2017-09-11,108.480003,110.599998,108.199997,110.500000,98.606819,4375200
2017-09-18,110.529999,110.690002,106.000000,106.480003,95.019493,4668900
2017-09-25,106.599998,109.480003,105.940002,109.169998,97.419968,5670400
2017-10-02,109.199997,109.680000,107.120003,108.650002,96.955933,4548900
2017-10-09,108.730003,110.639999,107.379997,110.070000,98.223099,4359800
2017-10-16,110.220001,110.989998,108.860001,109.019997,97.286118,3235400
2017-10-23,109.129997,109.760002,102.519997,104.080002,92.877808,7377200
2017-10-30,104.330002,106.870003,104.190002,105.919998,94.519768,5257000
2017-11-06,106.040001,108.870003,104.089996,108.599998,96.911316,4139600
2017-11-13,108.769997,110.949997,107.059998,109.099998,97.357498,6057900
2017-11-20,109.099998,110.750000,107.430000,107.449997,95.885094,3231300
2017-11-27,107.750000,111.889999,107.139999,111.010002,99.061920,4851000
2017-12-04,111.440002,113.940002,111.360001,113.199997,101.016212,4257600
2017-12-11,113.000000,114.900002,112.000000,114.139999,101.855026,4885000
2017-12-18,113.290001,115.820000,112.650002,114.949997,102.577850,4383000
2017-12-25,114.949997,115.580002,113.510002,113.510002,101.292847,1794200
2018-01-01,113.480003,113.989998,111.370003,112.959999,100.802032,3111400
2018-01-08,113.230003,114.629997,109.230003,109.269997,97.509201,4148700
2018-01-15,107.309998,109.660004,107.250000,109.370003,97.598457,4897600
2018-01-22,109.410004,111.809998,109.150002,111.070000,99.115479,4489200
2018-01-29,110.750000,111.050003,102.139999,102.970001,91.887245,8405400
2018-02-05,102.839996,103.269997,97.620003,99.669998,88.942444,9815700
2018-02-12,100.000000,100.959999,98.099998,100.709999,89.870529,6774100
2018-02-19,100.430000,100.550003,95.209999,96.949997,86.515228,4773500
2018-02-26,97.080002,99.449997,96.949997,98.870003,88.823792,5876500
2018-03-05,98.510002,100.360001,98.080002,100.360001,90.162392,4828600
2018-03-12,100.519997,103.000000,100.029999,101.019997,90.755341,6571800
2018-03-19,100.930000,101.410004,95.919998,96.059998,86.299332,5831700
2018-03-26,96.910004,99.519997,96.300003,98.959999,88.904663,4078400
2018-04-02,98.540001,101.070000,96.510002,98.849998,88.805840,4796600
2018-04-09,99.169998,100.379997,95.099998,95.959999,86.209496,5719300
2018-04-16,95.779999,97.300003,92.059998,92.480003,83.083107,6664500
2018-04-23,92.720001,94.500000,91.400002,93.379997,83.891655,9575000
2018-04-30,93.570000,94.000000,89.099998,91.779999,82.454224,7928000
2018-05-07,91.900002,93.669998,90.949997,92.459999,83.065132,5003100
2018-05-14,92.320000,94.290001,90.029999,91.489998,82.193687,7947800
2018-05-21,91.720001,93.239998,90.830002,92.029999,82.678810,5089900
2018-05-28,91.750000,92.370003,89.680000,90.010002,81.444176,6328000
2018-06-04,90.500000,92.000000,89.290001,91.769997,83.036705,6024800
2018-06-11,92.000000,94.000000,89.839996,94.000000,85.054451,8804600
2018-06-18,93.089996,93.959999,91.110001,92.669998,83.851028,5482400
2018-06-25,92.750000,95.010002,92.750000,93.059998,84.203903,6330000
2018-07-02,92.900002,96.300003,91.779999,95.550003,86.456955,4184100
2018-07-09,95.239998,95.820000,93.169998,93.989998,85.045418,4382200
2018-07-16,94.000000,94.139999,91.250000,91.919998,83.172394,4289200
2018-07-23,91.620003,101.690002,90.519997,96.989998,87.759926,9431600
2018-07-30,96.400002,100.839996,95.809998,99.160004,89.723412,7194300
2018-08-06,99.470001,100.269997,96.760002,97.699997,88.402367,4780400
2018-08-13,97.730003,101.959999,97.000000,101.480003,91.822632,6422400
2018-08-20,101.900002,102.769997,98.660004,99.769997,90.275345,4326500
2018-08-27,100.230003,100.879997,98.500000,100.519997,91.614120,3948500
2018-09-03,100.709999,104.449997,100.410004,103.639999,94.457695,5755700
2018-09-10,103.540001,106.760002,103.389999,105.970001,96.581261,5477100
2018-09-17,105.900002,105.900002,101.599998,103.900002,94.694656,5819000
2018-09-24,103.660004,103.839996,101.190002,102.000000,92.962982,3412000
2018-10-01,102.250000,104.680000,101.199997,104.389999,95.141243,4209600
2018-10-08,104.010002,106.540001,101.660004,103.410004,94.248077,4783900
2018-10-15,103.360001,106.790001,103.330002,106.580002,97.137222,5235900
2018-10-22,106.610001,109.519997,99.150002,102.519997,93.436928,8335500
2018-10-29,103.410004,108.699997,103.410004,105.839996,96.462784,7549900
2018-11-05,106.220001,108.709999,106.000000,108.580002,98.960022,7559100
2018-11-12,108.330002,110.089996,106.779999,109.150002,99.479523,6357400
2018-11-19,108.989998,109.690002,105.599998,106.209999,96.800003,4740200
2018-11-26,106.379997,108.489998,105.129997,108.300003,99.366982,6610800
2018-12-03,108.519997,110.300003,105.099998,107.139999,98.302643,6689500
2018-12-10,107.589996,110.150002,105.250000,107.870003,98.972443,5491200
2018-12-17,107.790001,109.320000,103.699997,105.910004,97.174110,8077600
2018-12-24,105.900002,107.900002,102.110001,106.300003,97.531944,3454900
2018-12-31,106.480003,107.410004,104.769997,106.080002,97.330078,4751900
2019-01-07,105.730003,107.029999,104.910004,106.589996,97.798004,6553600
2019-01-14,106.419998,108.550003,105.760002,108.139999,99.220161,4639200
2019-01-21,108.190002,108.910004,104.050003,104.300003,95.696899,4734800
2019-01-28,104.349998,106.779999,100.800003,104.779999,96.137306,8242200
2019-02-04,104.750000,108.510002,104.190002,108.419998,99.477058,6032700
2019-02-11,108.720001,109.970001,107.820000,109.349998,100.330353,6965100
2019-02-18,109.029999,111.519997,108.470001,110.220001,101.128586,4919700
2019-02-25,110.320000,112.260002,108.900002,112.230003,103.648949,5491200
2019-03-04,112.239998,112.449997,109.779999,111.239998,102.734627,4922500
2019-03-11,110.919998,111.800003,110.129997,110.790001,102.319046,4646000
2019-03-18,110.739998,112.940002,108.949997,112.000000,103.436531,6185000
2019-03-25,111.529999,114.940002,111.519997,114.830002,106.050156,4370500
2019-04-01,114.769997,116.070000,113.050003,115.870003,107.010643,4497500
2019-04-08,115.839996,116.730003,115.230003,116.110001,107.232285,3814500
2019-04-15,116.250000,117.349998,115.470001,116.959999,108.017288,3043300
2019-04-22,116.800003,126.120003,116.370003,125.169998,115.599548,8066600
2019-04-29,124.529999,125.500000,121.230003,121.830002,112.514923,7370200
2019-05-06,121.339996,126.980003,121.070000,126.879997,117.178818,7114900
2019-05-13,126.190002,129.669998,126.010002,128.899994,119.044342,8637500
2019-05-20,128.899994,131.789993,128.770004,130.190002,120.235725,6608900
2019-05-27,130.580002,132.000000,127.730003,131.960007,122.543510,6959400
2019-06-03,131.929993,139.339996,131.169998,138.009995,128.161789,6814600
2019-06-10,138.009995,139.139999,136.029999,138.320007,128.449661,5414600
2019-06-17,138.500000,138.600006,135.139999,137.130005,127.344643,7913700
2019-06-24,137.669998,138.500000,133.500000,134.029999,124.465813,7563700
2019-07-01,134.690002,138.539993,133.509995,138.259995,128.393951,3765700
2019-07-08,138.059998,139.240005,136.550003,137.169998,127.381744,4346000
2019-07-15,137.789993,147.589996,137.320007,145.179993,134.820175,7667800
2019-07-22,145.630005,153.500000,139.259995,152.979996,142.063538,8254000
2019-07-29,152.889999,153.910004,150.229996,152.110001,141.255630,5743200
